ID;Name_Validity;Division;Class;Sublass;Order;Family;Rank;Name;Author;Czech_name;presence;RL_Evaluation
232;V;10008;10027;10028;10029;10048;28;Plagiochila;(Dumort.) Dumort.;kapraïovka;Y;
233;V;10008;10027;10028;10029;10048;34;Plagiochila asplenioides;(L.) Dumort.;kapraïovka sleziníkovitá;Y;LC
234;V;10008;10027;10028;10029;10048;34;Plagiochila porelloides;(Torr. ex Nees) Lindenb.;kapraïovka podhoøankovitá;Y;LC
235;V;10008;10027;10028;10029;10048;34;Plagiochila spinulosa;(Dicks.) Dumort.;(bez èeského jména);N;NE
236;V;10008;10027;10028;10051;10054;28;Porella;L.;podhoøanka;Y;
237;V;10008;10027;10028;10051;10054;34;Porella arboris-vitae;(With.) Grolle;podhoøanka lesklá;Y;NT
238;V;10008;10027;10028;10051;10054;34;Porella baueri;(Schiffn.) C.E.O.Jensen;podhoøanka Bauerova;Y;NE
239;V;10008;10027;10028;10051;10054;34;Porella cordaeana;(Huebener) Moore;podhoøanka Cordova;Y;NT
240;V;10008;10027;10028;10051;10054;34;Porella pinnata;L.;(bez èeského jména);N;NE
241;V;10008;10027;10028;10051;10054;34;Porella platyphylla;(L.) Pfeiff.;podhoøanka plocholistá;Y;LC
242;V;10008;10027;10028;10051;10054;34;Porella platyphylloidea;(Schwein.) Lindb.;podhoøanka zploštìlá;N;NE
243;V;10008;10013;10017;10020;10023;28;Preissia;Corda;pateøín;Y;
244;V;10008;10013;10017;10020;10023;34;Preissia quadrata;(Scop.) Nees;pateøín ètyødílnı;Y;LC
245;V;10008;10027;10028;10056;10057;28;Ptilidium;Nees;brvitec;Y;
246;V;10008;10027;10028;10056;10057;34;Ptilidium ciliare;(L.) Hampe;brvitec chlupatı;Y;LC
247;V;10008;10027;10028;10056;10057;34;Ptilidium pulcherrimum;(Weber) Vain.;brvitec pøekrásnı;Y;LC
248;V;10008;10027;10028;10051;10055;28;Radula;Dumort.;struhatka;Y;
249;V;10008;10027;10028;10051;10055;34;Radula complanata;(L.) Dumort.;struhatka zploštìlá;Y;LC
250;V;10008;10027;10028;10051;10055;34;Radula lindenbergiana;Gottsche ex C.Hartm.;struhatka Lindenbergova;Y;VU
251;V;10008;10013;10017;10020;10021;28;Reboulia;Raddi;koenka;Y;
252;V;10008;10013;10017;10020;10021;34;Reboulia hemisphaerica;(L.) Raddi;koenka polokulovitá;Y;NT
253;V;10008;10027;10058;10059;10060;28;Riccardia;Gray;stìkovec;Y;
254;V;10008;10027;10058;10059;10060;34;Riccardia chamedryfolia;(With.) Grolle;stìkovec vykrajovanı;Y;VU
255;V;10008;10027;10058;10059;10060;34;Riccardia incurvata;Lindb.;stìkovec zakøivenı;Y;VU
256;V;10008;10027;10058;10059;10060;34;Riccardia latifrons;(Lindb.) Lindb.;stìkovec širokı;Y;LC-att
257;V;10008;10027;10058;10059;10060;34;Riccardia multifida;(L.) Gray;stìkovec mnohodílnı;Y;LC-att
258;V;10008;10027;10058;10059;10060;34;Riccardia palmata;(Hedw.) Carruth.;stìkovec prstnatı;Y;LC-att
259;V;10008;10013;10017;10020;10025;28;Riccia;L.;trhutka;Y;
260;V;10008;10013;10017;10020;10025;34;Riccia beyrichiana;Hampe;trhutka Beyrichova;N;NE
261;V;10008;10013;10017;10020;10025;34;Riccia bifurca;Hoffm.;trhutka dvouklanná;Y;LC-att
262;V;10008;10013;10017;10020;10025;34;Riccia canaliculata;Hoffm.;trhutka lábkovitá;V;DD-va
263;V;10008;10013;10017;10020;10025;34;Riccia cavernosa;Hoffm.;trhutka dutinkatá;Y;NT
264;V;10008;10013;10017;10020;10025;34;Riccia ciliata;Hoffm.;trhutka chlupatá;Y;NT
265;V;10008;10013;10017;10020;10025;34;Riccia ciliifera;Link;trhutka brvitá;Y;NT
266;V;10008;10013;10017;10020;10025;34;Riccia crinita;Taylor;trhutka vlasatá;Y;NE
267;V;10008;10013;10017;10020;10025;34;Riccia fluitans;L.;trhutka plovoucí;Y;LC
268;V;10008;10013;10017;10020;10025;34;Riccia glauca;L.;trhutka sivá;Y;LC
269;V;10008;10013;10017;10020;10025;34;Riccia gougetiana;Durieu & Mont.;trhutka Gougetova;Y;NE
