"spec","Osobní nálezy","ČBFS","Bryonora (M)","ČNFD","NDOP","total","RL_eval"
"Physcomitrium eurystomum",0,1,4,48,14,67,"VU"
"Syntrichia montana",0,6,0,29,32,67,"LC"
"Grimmia donniana",0,19,0,0,47,66,"LC"
"Schljakovia kunzeana",0,4,2,10,50,66,"EN"
"Syzygiella autumnalis",0,7,9,1,49,66,"VU"
"Atrichum tenellum",0,7,0,25,33,65,"NT"
"Kiaeria starkei",0,32,0,12,21,65,"LC"
"Mnium lycopodioides",0,34,9,0,22,65,"LC-att"
"Orthotrichum cupulatum",0,0,0,8,57,65,"NE"
"Syntrichia virescens",0,12,0,1,52,65,"LC"
"Bryum elegans",0,13,0,17,34,64,"NT"
"Drepanocladus polygamus",0,23,3,11,27,64,"VU"
"Harpanthus flotovianus",0,17,0,3,43,63,"VU"
"Palustriella falcata",0,12,0,19,32,63,"LC"
"Pseudephemerum nitidum",0,8,0,27,28,63,"LC"
"Dicranum majus",0,17,6,19,20,62,"VU"
"Splachnum ampullaceum",0,5,4,4,49,62,"NT"
"Cirriphyllum crassinervium",0,10,0,12,39,61,"LC"
"Racomitrium elongatum",0,11,0,7,43,61,"LC"
"Brachythecium geheebii",0,6,2,2,50,60,"EN"
"Campylophyllopsis sommerfeltii",0,0,0,3,57,60,"LC-att"
"Plagiopus oederianus",0,12,13,17,18,60,"VU"
"Serpoleskea confervoides",0,4,1,10,45,60,"LC-att"
"Lewinskya affinis",0,58,0,1,0,59,"NE"
"Orthotrichum urnigerum",0,15,14,0,30,59,"VU"
"Hypnum vaucheri",0,12,0,17,29,58,"LC-att"
"Scapania",0,5,0,15,38,58,""
"Bryum dichotomum",0,9,0,8,40,57,"LC"
"Didymodon ferrugineus",0,9,0,12,35,56,"LC"
"Oxyrrhynchium speciosum",0,5,0,19,32,56,"LC-att"
"Pseudobryum cinclidioides",0,3,5,13,35,56,"EN"
"Riccia papillosa",0,1,8,0,47,56,"CR"
"Didymodon insulanus",0,30,0,0,25,55,"LC"
"Andreaea rothii subsp. falcata",0,53,0,0,0,53,"LC-att"
"Brachythecium campestre",0,9,0,23,21,53,"LC-att"
"Grimmia elongata",0,38,0,0,15,53,"NT"
"Plagiochila",0,0,0,9,44,53,""
"Scapania aequiloba",0,7,0,5,41,53,"NT"
"Sphagnum lindbergii",0,7,0,33,13,53,"LC"
"Crossocalyx hellerianus",0,3,4,0,45,52,"EN"
"Jungermannia pumila",0,20,0,0,32,52,"NT"
"Kurzia sylvatica",0,5,0,1,46,52,"LC-att"
"Trichostomum crispulum",0,16,0,23,13,52,"LC-att"
"Calypogeia suecica",0,10,3,10,28,51,"NT"
"Cephaloziella hampeana",0,10,0,0,41,51,"LC-att"
"Grimmia funalis",0,32,0,2,17,51,"LC-att"
"Radula lindenbergiana",0,26,0,1,24,51,"VU"
"Syntrichia calcicola",0,11,0,2,38,51,"LC"
"Bryum muehlenbeckii",0,32,0,0,18,50,"NT"
"Dicranella subulata",0,18,10,8,14,50,"VU"
"Pohlia nutans subsp. schimperi",0,27,1,0,22,50,"NT"
"Bryum alpinum",0,21,0,3,25,49,"NT"
"Buxbaumia aphylla",0,6,4,2,37,49,"NT"
"Dicranum muehlenbeckii",0,2,2,0,45,49,"CR"
"Fissidens gracilifolius",0,5,0,3,41,49,"LC"
"Rhynchostegium confertum",0,20,9,5,15,49,"LC-att"
"Blasia pusilla",0,3,0,2,43,48,"LC"
"Bryum archangelicum",0,4,1,39,4,48,"EN"
"Bryum violaceum",0,4,0,3,41,48,"LC"
"Cephaloziella",0,0,0,40,8,48,""
"Eucladium verticillatum",0,8,0,17,23,48,"LC"
"Grimmia incurva",0,12,0,8,28,48,"LC"
"Cephaloziella spinigera",0,4,1,0,42,47,"VU"
"Geocalyx graveolens",0,6,8,2,31,47,"VU"
"Scapania aspera",0,2,2,13,30,47,"VU"
"Didymodon cordatus",0,31,8,0,7,46,"VU"
"Pohlia annotina",0,13,0,9,24,46,"LC"
"Riccia canaliculata",0,0,0,44,2,46,"DD-va"
"Ulota",0,1,0,0,45,46,""
"Fissidens osmundoides",0,18,0,8,19,45,"LC-att"
"Philonotis",0,1,0,14,30,45,""
"Scapania curta",0,10,0,0,35,45,"LC"
"Schistidium brunnescens",0,1,0,13,31,45,"LC"
"Bartramia halleriana",0,13,0,5,26,44,"NT"
"Philonotis capillaris",0,2,1,1,40,44,"EN"
"Riccardia chamedryfolia",0,14,9,7,14,44,"VU"
"Grimmia trichophylla",0,12,0,13,18,43,"LC-att"
"Odontoschisma fluitans",0,0,0,20,23,43,"EN"
"Anthoceros neesii",0,1,5,0,36,42,"EN"
"Kurzia pauciflora",0,6,4,4,28,42,"VU"
"Timmia bavarica",0,6,0,12,24,42,"EN"
"Dicranodontium",0,0,0,1,39,40,""
"Anacamptodon splachnoides",0,10,7,0,22,39,"EN"
"Anthelia julacea",0,28,0,1,10,39,"VU"
"Lophozia wenzelii",0,9,0,5,25,39,"CR"
"Mesoptychia heterocolpos",0,3,1,0,35,39,"CR"
"Rhynchostegiella tenella",0,7,2,3,27,39,"NT"
"Schistidium helveticum",0,8,0,0,31,39,"LC-att"
"Syntrichia papillosa",0,6,0,0,33,39,"LC"
"Blindiadelphus recurvatus",0,5,0,0,33,38,"LC"
"Dicranella rufescens",0,6,0,6,26,38,"LC"
"Grimmia elatior",0,1,1,0,36,38,"CR"
"Philonotis tomentella",0,8,0,3,27,38,"VU"
"Pohlia drummondii",0,12,0,2,24,38,"LC"
"Didymodon acutus",0,13,1,6,17,37,"LC-att"
"Ditrichum lineare",0,20,0,2,15,37,"LC-att"
"Endogemma caespiticia",0,7,2,0,28,37,"LC-att"
"Ephemerum minutissimum",0,8,0,0,29,37,"LC"
"Metzgeria violacea",0,4,13,0,20,37,"VU"
"Orthotrichum rogeri",0,9,7,0,21,37,"VU"
"Schistidium robustum",0,24,0,0,13,37,"LC"
"Marsupella funckii",0,16,0,1,19,36,"NT"
"Pyramidula tetragona",0,4,0,0,32,36,"CR"
"Rhynchostegium megapolitanum",0,9,10,3,14,36,"VU"
"Zygodon rupestris",0,5,12,0,19,36,"NT"
"Aneura maxima",0,15,10,0,10,35,"NT"
"Cephalozia bicuspidata subsp. lammersiana",0,0,0,35,0,35,"NE"
"Cololejeunea rossettiana",0,2,2,7,24,35,"VU"
"Notothylas orbicularis",0,0,4,0,31,35,"CR"
"Rhizomnium pseudopunctatum",0,2,3,16,14,35,"EN"
"Anomodon rugelii",0,7,4,0,23,34,"VU"
"Ditrichum pusillum",0,14,0,1,19,34,"LC-att"
"Entodon",0,0,0,2,32,34,""
"Marchantia polymorpha subsp. polymorpha",0,2,0,2,30,34,"LC"
"Pohlia proligera",0,10,0,0,24,34,"LC"
"Pseudocrossidium hornschuchianum",0,10,0,8,16,34,"LC"
"Pterygoneurum subsessile",0,10,2,9,13,34,"VU"
"Fissidens exilis",0,1,0,7,25,33,"LC"
"Grimmia orbicularis",0,6,0,1,26,33,"LC-att"
"Jungermannia",0,0,0,4,29,33,""
"Obtusifolium obtusum",0,3,4,3,23,33,"EN"
"Pleuridium acuminatum",0,13,0,7,13,33,"LC-att"
"Pohlia ludwigii",0,18,4,2,9,33,"VU"
"Bryum schleicheri",0,4,0,24,4,32,"CR"
"Grimmia montana",0,16,0,2,14,32,"LC-att"
"Seligeria donniana",0,8,0,2,22,32,"LC"
"Splachnum sphaericum",0,7,0,4,21,32,"NT"
"Tortula acaulon var. pilifera",0,4,0,15,13,32,"LC"
"Barbula",0,0,0,30,1,31,""
"Drepanocladus sendtneri",0,1,1,14,15,31,"CR"
"Fissidens dubius var. dubius",0,0,0,0,31,31,"LC"
"Grimmia anomala",0,20,0,0,11,31,"VU"
"Grimmia laevigata",0,5,0,1,25,31,"LC"
"Hypnum callichroum",0,18,0,4,9,31,"EN"
"Jungermannia atrovirens",0,12,3,0,16,31,"VU"
"Scapania praetervisa",0,19,0,0,12,31,"VU"
"Andreaea rothii",0,0,1,0,29,30,"NE"
"Fuscocephaloziopsis macrostachya",0,17,6,0,7,30,"VU"
"Mannia triandra",0,0,0,0,30,30,"CR"
"Rhodobryum ontariense",0,5,1,4,20,30,"LC-att"
"Schistidium rivulare",0,10,0,0,20,30,"LC-att"
"Warnstorfia pseudostraminea",0,14,6,0,10,30,"EN"
"Acaulon muticum",0,2,4,0,23,29,"LC-att"
"Callicladium haldanianum",0,3,12,1,13,29,"VU"
"Dicranum elongatum",0,3,2,4,20,29,"EN"
"Fuscocephaloziopsis pleniceps",0,3,0,4,22,29,"VU"
"Scapania paludosa",0,13,3,2,11,29,"VU"
"Schistidium confertum",0,18,0,1,10,29,"VU"
"Conocephalum salebrosum",0,11,0,0,17,28,"LC"
"Drepanocladus trifarius",0,0,0,25,3,28,"CR"
"Encalypta",0,1,0,23,4,28,""
"Hilpertia velenovskyi",0,1,2,0,25,28,"CR"
"Isothecium",0,0,0,2,26,28,""
"Aloina rigida",0,7,0,1,19,27,"LC"
"Calliergon",0,0,0,12,15,27,""
"Campylopus fragilis",0,2,0,4,21,27,"LC-att"
"Grimmia longirostris",0,8,0,2,17,27,"LC"
"Microbryum floerkeanum",0,1,16,0,10,27,"VU"
"Bryoerythrophyllum ferruginascens",0,18,0,0,8,26,"LC-att"
"Campylopus pyriformis",0,6,2,3,15,26,"LC-att"
"Cephalozia",0,0,0,20,6,26,""
"Dicranodontium uncinatum",0,11,0,2,13,26,"EN"
"Ephemerum recurvifolium",0,0,10,11,5,26,"VU"
"Fuscocephaloziopsis loitlesbergeri",0,4,2,5,15,26,"VU"
"Grimmia anodon",0,10,4,3,9,26,"EN"
"Heterocladium dimorphum",0,11,5,1,9,26,"NT"
"Moerckia flotoviana",0,10,0,0,16,26,"CR"
"Orthotrichum pulchellum",0,2,16,0,8,26,"LC-att"
"Scapania cuspiduligera",0,16,0,0,10,26,"VU"
"Scapania gymnostomophila",0,6,0,3,17,26,"EN"
"Scapania scandica",0,18,0,1,7,26,"DD"
"Scapania subalpina",0,7,0,2,17,26,"NT"
"Tetrodontium repandum",0,5,0,0,21,26,"NT"
"Bazzania",0,0,0,3,22,25,""
"Bryum pseudotriquetrum var. bimum",0,8,0,3,14,25,"LC-att"
"Hookeria lucens",0,3,8,1,13,25,"NT"
"Pohlia camptotrachela",0,7,0,2,16,25,"LC-att"
"Rhabdoweisia crispata",0,5,0,0,20,25,"NT"
"Tortula acaulon var. acaulon",0,0,0,0,25,25,"LC"
"Ulota hutchinsiae",0,0,0,0,25,25,"EN"
"Acaulon triquetrum",0,9,6,0,9,24,"VU"
"Campylostelium saxicola",0,8,1,0,15,24,"NT"
"Pseudoleskeella rupestris",0,18,0,0,6,24,"VU"
"Tayloria tenuis",0,5,1,1,17,24,"EN"
"Bryum pseudotriquetrum var. pseudotriquetrum",0,0,0,0,23,23,"LC"
"Cololejeunea calcarea",0,5,3,0,15,23,"VU"
"Cratoneuron",0,0,0,11,12,23,""
"Cynodontium bruntonii",0,7,0,4,12,23,"LC-att"
"Fissidens viridulus var. viridulus",0,0,0,0,23,23,"LC"
"Gymnomitrion corallioides",0,4,0,0,19,23,"CR"
"Orthotrichum scanicum",0,3,1,0,19,23,"CR"
"Amphidium lapponicum",0,14,0,0,8,22,"EN"
"Asterella saccata",0,3,0,1,18,22,"EN"
"Encalypta ciliata",0,8,0,0,14,22,"VU"
"Entodon schleicheri",0,0,1,0,21,22,"DD"
"Grimmia crinita",0,9,2,0,11,22,"EN"
"Grimmia tergestina",0,6,0,3,13,22,"LC-att"
"Hylocomiastrum pyrenaicum",0,7,0,0,15,22,"VU"
"Myurella julacea",0,12,0,1,9,22,"EN"
"Riccardia incurvata",0,7,0,2,13,22,"VU"
"Weissia fallax",0,9,0,0,13,22,"LC-att"
"Weissia wimmeriana",0,11,0,0,11,22,"VU"
"Zygodon dentatus",0,8,6,0,8,22,"NT"
"Atrichum angustatum",0,1,3,10,7,21,"EN"
"Bryum cyclophyllum",0,1,2,0,18,21,"EN"
"Bryum subapiculatum",0,10,0,0,11,21,"LC"
"Didymodon spadiceus",0,11,1,0,9,21,"NT"
"Ephemerum serratum",0,1,0,1,19,21,"DD"
"Grimmia sessitana",0,14,0,0,7,21,"VU"
"Lewinskya rupestris",0,6,4,0,11,21,"VU"
"Pohlia erecta",0,0,0,0,21,21,"NE"
"Riccia warnstorfii",0,0,5,0,16,21,"VU"
"Didymodon sinuosus",0,5,3,0,12,20,"VU"
"Fissidens gymnandrus",0,9,0,0,11,20,"LC"
"Flexitrichum gracile",0,11,0,0,9,20,"LC-att"
"Fossombronia foveolata",0,4,0,0,16,20,"EN"
"Grimmia alpestris",0,11,0,3,6,20,"VU"
"Hymenostylium recurvirostrum",0,9,0,4,7,20,"VU"
"Moerckia blyttii",0,2,0,2,16,20,"EN"
"Plagiothecium latebricola",0,1,3,6,10,20,"VU"
"Racomitrium affine",0,8,1,1,10,20,"LC-att"
"Bazzania flaccida",0,1,4,0,14,19,"VU"
"Conardia compacta",0,3,4,0,12,19,"EN"
"Heterogemma capitata",0,8,2,1,8,19,"VU"
"Mannia gracilis",0,3,1,0,15,19,"EN"
"Odontoschisma sphagni",0,6,2,0,11,19,"EN"
"Paraleucobryum",0,0,0,1,18,19,""
"Paraleucobryum sauteri",0,0,0,19,0,19,"RE"
"Plagiobryum zieri",0,11,0,0,8,19,"EN"
"Pogonatum nanum",0,2,6,1,10,19,"VU"
"Pottiopsis caespitosa",0,4,0,0,15,19,"CR"
"Scapania calcicola",0,0,1,2,16,19,"EN"
"Schistidium pruinosum",0,11,1,0,7,19,"LC-att"
"Solenostoma confertissimum",0,9,0,0,10,19,"VU"
"Syntrichia ruralis var. ruraliformis",0,3,0,10,6,19,"LC-att"
"Targionia hypophylla",0,0,0,0,19,19,"CR"
"Entodon concinnus",0,3,0,2,13,18,"LC-att"
"Entosthodon fascicularis",0,2,1,6,9,18,"VU"
"Gymnomitrion alpinum",0,14,0,0,4,18,"EN"
"Lunularia cruciata",0,0,0,0,18,18,"LC"
"Neckera",0,0,0,0,18,18,""
"Orthotrichum cupulatum var. cupulatum",0,8,0,0,10,18,"LC"
"Riccia bifurca",0,0,2,0,16,18,"LC-att"
"Schistidium trichodon",0,6,0,1,11,18,"NE"
"Sphenolobus saxicola",0,2,0,0,16,18,"VU"
"Barbilophozia",0,0,0,17,0,17,""
"Grimmia torquata",0,11,0,0,6,17,"VU"
"Microbryum curvicollum",0,6,0,0,11,17,"LC-att"
"Plagiothecium denticulatum var. obtusifolium",0,17,0,0,0,17,"VU"
"Platyhypnum molle",0,0,0,0,17,17,"DD"
"Pohlia bulbifera",0,4,0,2,11,17,"LC"
"Tortula protobryoides",0,6,0,3,8,17,"LC-att"
"Weissia rutilans",0,2,1,14,0,17,"EN"
"Campylophyllum halleri",0,7,0,2,7,16,"EN"
"Distichium",0,0,0,14,2,16,""
"Lophocolea",0,0,0,16,0,16,""
"Marsupella sprucei",0,6,1,0,9,16,"EN"
"Platyhypnum duriusculum",0,14,1,0,1,16,"NT"
"Pohlia andalusica",0,5,1,1,9,16,"LC-att"
"Pohlia elongata",0,15,0,1,0,16,"NE"
"Pterygoneurum lamellatum",0,6,3,0,7,16,"EN"
"Riccia gougetiana",0,3,0,0,13,16,"NE"
"Scapania compacta",0,0,0,13,3,16,"DD-va"
"Seligeria pusilla",0,3,0,0,13,16,"VU"
"Tetrodontium brownianum",0,3,7,0,6,16,"NT"
"Cynodontium gracilescens",0,9,0,0,6,15,"VU"
"Hypnum cupressiforme var. filiforme",0,0,0,0,15,15,"LC"
"Hypnum cupressiforme var. subjulaceum",0,14,0,0,1,15,"NT"
"Campyliadelphus elodes",0,1,0,7,6,14,"DD-va"
"Didymodon",0,0,0,11,3,14,""
"Didymodon luridus",0,5,0,0,9,14,"NT"
"Fissidens dubius var. mucronatus",0,1,0,0,13,14,"LC"
"Fissidens fontanus",0,0,5,1,8,14,"NT"
"Gyroweisia tenuis",0,1,4,0,9,14,"DD"
"Isopterygiopsis muelleriana",0,1,1,4,8,14,"CR"
"Marchantia polymorpha subsp. ruderalis",0,3,0,0,11,14,"LC"
"Marsupella aquatica",0,8,0,5,1,14,"LC"
"Pohlia lescuriana",0,7,4,1,2,14,"LC-att"
"Schistidium lancifolium",0,4,0,0,10,14,"LC-att"
"Schljakovianthus quadrilobus",0,6,0,1,7,14,"EN"
"Sciuro-hypnum flotowianum",0,1,0,4,9,14,"DD"
"Tetralophozia setiformis",0,4,0,0,10,14,"VU"
"Bryum turbinatum",0,1,0,10,2,13,"EN"
"Campylium",0,0,0,10,3,13,""
"Hypnum fertile",0,3,2,0,8,13,"CR"
"Isopterygiopsis pulchella",0,3,1,0,9,13,"CR"
"Lescuraea patens",0,6,0,2,5,13,"EN"
"Loeskeobryum brevirostre",0,2,2,4,5,13,"NT"
"Marchantia polymorpha subsp. montivagans",0,13,0,0,0,13,"LC-att"
"Pohlia wahlenbergii var. glacialis",0,13,0,0,0,13,"NE"
"Rhizomnium",0,0,0,4,9,13,""
"Tayloria serrata",0,1,2,6,4,13,"EN"
"Weissia squarrosa",0,1,7,0,5,13,"VU"
"Aloina aloides var. ambigua",0,6,6,0,0,12,"EN"
"Aloina obliquifolia",0,7,0,0,5,12,"LC"
"Cleistocarpidium palustre",0,6,2,1,3,12,"VU"
"Cynodontium tenellum",0,4,1,0,7,12,"VU"
"Discelium nudum",0,1,6,0,5,12,"VU"
"Distichium inclinatum",0,7,0,1,4,12,"EN"
"Ditrichum zonatum",0,7,0,0,5,12,"EN"
"Pseudocrossidium revolutum",0,3,3,1,5,12,"EN"
"Streblotrichum commutatum",0,2,3,0,7,12,"DD"
"Tetraplodon angustatus",0,6,2,1,3,12,"VU"
"Tortula inermis",0,4,4,0,4,12,"CR"
"Brachythecium erythrorrhizon",0,0,0,1,10,11,"NE"
"Brachythecium tenuicaule",0,4,3,0,4,11,"CR"
"Bryum radiculosum",0,0,0,0,11,11,"LC-att"
"Chiloscyphus",0,0,0,10,1,11,""
"Hygrobiella laxifolia",0,4,1,0,6,11,"VU"
"Marsupella sparsifolia",0,3,0,0,8,11,"CR"
"Pohlia melanodon",0,1,4,1,5,11,"VU"
"Scapania helvetica",0,1,0,1,9,11,"CR"
"Anoectangium aestivum",0,6,0,0,4,10,"EN"
"Bryum gemmiferum",0,2,2,0,6,10,"LC-att"
"Cephaloziella elegans",0,0,1,0,9,10,"CR"
"Didymodon validus",0,6,4,0,0,10,"EN"
"Fissidens viridulus var. incurvus",0,1,0,0,9,10,"LC-att"
"Homalothecium",0,0,0,5,5,10,""
"Lescuraea mutabilis",0,3,0,0,7,10,"EN"
"Lewinskya affinis var. bohemica",6,1,1,0,2,10,"DD"
"Mnium thomsonii",0,5,0,1,4,10,"CR"
"Plagiothecium neckeroideum",0,1,0,2,7,10,"EN"
"Pleuridium",0,0,0,8,2,10,""
"Pseudoleskeella tectorum",0,1,0,0,9,10,"CR"
"Schistidium brunnescens subsp. brunnescens",0,10,0,0,0,10,"LC"
"Schistidium elegantulum",0,0,0,0,10,10,"LC-att"
"Tortula muralis subsp. muralis var. muralis",0,10,0,0,0,10,"LC"
"Bryum creberrimum",0,7,0,0,2,9,"EN"
"Chiloscyphus polyanthos var. polyanthos",0,0,0,9,0,9,"NE"
"Didymodon vinealis",0,1,0,6,2,9,"EN"
"Fissidens arnoldii",0,0,7,0,2,9,"EN"
"Mesoptychia badensis",0,4,2,0,3,9,"VU"
"Saelania glaucescens",0,3,0,0,6,9,"EN"
"Schistidium confusum",0,6,0,0,3,9,"LC-att"
"Schistidium flaccidum",0,0,0,0,9,9,"EN"
"Syntrichia latifolia",0,3,1,1,4,9,"NT"
"Andreaea rothii subsp. rothii",0,8,0,0,0,8,"EN"
"Bryum uliginosum",0,4,3,1,0,8,"EN"
"Cephaloziella grimsulana",0,4,0,0,4,8,"EN"
"Ceratodon",0,0,0,0,8,8,""
"Encalypta rhaptocarpa",0,8,0,0,0,8,"NE"
"Entosthodon muhlenbergii",0,0,1,0,7,8,"CR"
"Frullania inflata",0,3,2,0,3,8,"EN"
"Grimmia atrata",0,6,0,0,2,8,"VU"
"Haplomitrium hookeri",0,4,0,0,4,8,"CR"
"Kurzia",0,0,0,8,0,8,""
"Lescuraea plicata",0,3,0,3,2,8,"EN"
"Riccardia",0,0,0,2,6,8,""
"Schistidium trichodon var. nutans",0,8,0,0,0,8,"LC-att"
"Schistochilopsis grandiretis",0,1,1,0,6,8,"VU"
"Seligeria calcarea",0,4,2,0,2,8,"EN"
"Thamnobryum neckeroides",0,2,0,0,6,8,"EN"
"Ulota crispula",0,6,0,0,2,8,"NE"
"Andreaea frigida",0,5,0,0,2,7,"CR"
"Anomobryum concinnatum",0,4,0,0,3,7,"CR"
"Brachydontium",0,0,0,7,0,7,""
"Bryum funkii",0,1,0,4,2,7,"DD"
"Bryum intermedium",0,2,1,3,1,7,"CR"
"Cephaloziella elachista",0,3,0,0,4,7,"EN"
"Dicranum spadiceum",0,1,0,0,6,7,"CR"
"Didymodon tophaceus",0,4,0,0,3,7,"LC-att"
"Ditrichum pallidum",0,0,1,1,5,7,"VU"
"Entosthodon pulchellus",0,2,0,0,5,7,"EN"
"Ephemerum",0,0,0,1,6,7,""
"Fontinalis hypnoides",0,1,1,4,1,7,"EN"
"Lescuraea radicosa",0,6,0,0,1,7,"EN"
"Metzgeria simplex",0,0,0,0,7,7,"NE"
"Nardia compressa",0,4,0,0,3,7,"VU"
"Rhynchostegiella teneriffae",0,1,4,0,2,7,"EN"
"Seligeria",0,4,0,2,1,7,""
"Seligeria acutifolia",0,1,2,0,4,7,"VU"
"Syntrichia",0,1,0,0,6,7,""
"Tortella",0,1,0,4,2,7,""
"Tortula atrovirens",0,4,3,0,0,7,"CR"
"Ulota intermedia",0,7,0,0,0,7,"NE"
"Andreaea crassinervia",0,2,1,0,3,6,"CR"
"Blindiadelphus campylopodus",0,0,3,0,3,6,"VU"
"Bryum mildeanum",0,2,1,1,2,6,"VU"
"Bryum tenuisetum",0,4,0,0,2,6,"DD"
"Crossidium squamiferum",0,1,0,2,3,6,"CR"
"Fossombronia",0,1,0,2,3,6,""
"Grimmia dissimulata",0,4,2,0,0,6,"DD"
"Grimmia teretinervis",0,1,0,0,5,6,"CR"
"Hennediella heimii",0,3,2,0,1,6,"DD-va"
"Mesoptychia collaris",0,0,0,6,0,6,"NE"
"Microbryum davallianum",0,0,1,3,2,6,"NE"
"Mielichhoferia mielichhoferiana",0,0,0,0,6,6,"CR"
"Moerckia hibernica",0,0,0,1,5,6,"NE"
"Odontoschisma francisci",0,0,0,0,6,6,"CR"
"Orthotrichum stellatum",0,2,1,0,3,6,"CR"
"Philonotis marchica",0,0,2,2,2,6,"CR"
"Racomitrium macounii subsp. macounii",0,4,0,0,2,6,"EN"
"Radula",0,0,0,0,6,6,""
"Rhabdoweisia crenulata",0,1,0,0,5,6,"EN"
"Sphagnum molle",0,0,0,0,6,6,"RE"
"Tetraplodon mnioides",0,3,1,0,2,6,"VU"
"Tortula hoppeana",0,2,0,0,4,6,"EN"
"Tortula mucronifolia",0,1,0,2,3,6,"CR"
"Tortula muralis subsp. muralis var. aestiva",0,6,0,0,0,6,"LC"
"Bryum algovicum",0,0,0,2,3,5,"DD-va"
"Bryum ruderale",0,1,0,2,2,5,"DD"
"Campylopus subulatus",0,2,2,0,1,5,"VU"
"Gymnostomum viridulum",0,4,1,0,0,5,"VU"
"Hypnum cupressiforme var. resupinatum",0,0,0,0,5,5,"NE"
"Isopterygiopsis",0,0,0,5,0,5,""
"Marchantia",0,0,0,5,0,5,""
"Neckera menziesii",0,0,1,0,4,5,"CR"
"Oxyrrhynchium hians var. rigidum",0,4,0,1,0,5,"NE"
"Palustriella",0,0,0,0,5,5,""
"Rhynchostegium rotundifolium",0,1,0,0,4,5,"EN"
"Scapania lingulata",0,1,0,0,4,5,"EN"
"Schistochilopsis opacifolia",0,5,0,0,0,5,"DD-va"
"Syntrichia fragilis",0,3,0,0,2,5,"CR"
"Trichostomum brachydontium",0,0,0,5,0,5,"DD-va"
"Campylopus",0,0,0,3,1,4,""
"Dicranella crispa",0,0,0,4,0,4,"DD-va"
"Ditrichum",0,1,0,3,0,4,""
"Encalypta rhaptocarpa var. rhaptocarpa",0,0,0,0,4,4,"EN"
"Fissidens viridulus",0,3,0,1,0,4,"NE"
"Hypnum imponens",0,2,1,0,1,4,"CR"
"Kiaeria falcata",0,2,0,0,2,4,"EN"
"Kurzia trichoclados",0,0,0,0,4,4,"EN"
"Meesia longiseta",0,0,0,0,4,4,"RE"
"Orthocaulis atlanticus",0,1,0,0,3,4,"RE"
"Plagiochila spinulosa",0,0,0,0,4,4,"NE"
"Pohlia filum",0,0,0,2,2,4,"VU"
"Riccia crinita",0,3,0,1,0,4,"NE"
"Scapania parvifolia",0,2,0,0,2,4,"CR"
"Schistidium elegantulum subsp. elegantulum",0,4,0,0,0,4,"LC-att"
"Sphagnum pulchrum",0,0,0,2,2,4,"NE"
"Splachnum",0,0,0,0,4,4,""
"Syntrichia norvegica",0,0,0,0,4,4,"CR"
"Tortella fragilis",0,0,0,4,0,4,"NE"
"Tortula lingulata",0,0,0,0,4,4,"CR"
"Zygodon viridissimus",0,1,2,0,1,4,"EN"
"Aloina brevirostris",0,0,0,0,3,3,"CR"
"Amblyodon dealbatus",0,0,0,0,3,3,"CR"
"Anthelia juratzkana",0,1,0,0,2,3,"CR"
"Bryum longisetum",0,0,0,0,3,3,"RE"
"Calliergonella",0,0,0,3,0,3,""
"Ceratodon conicus",0,2,0,0,1,3,"NE"
"Climacium",0,0,0,3,0,3,""
"Dicranella humilis",0,1,1,0,1,3,"VU"
"Didymodon umbrosus",0,3,0,0,0,3,"NE"
"Fissidens bambergeri",0,1,0,0,2,3,"EN"
"Fossombronia pusilla",0,0,2,0,1,3,"DD-va"
"Hedwigia",0,0,0,0,3,3,""
"Hedwigia ciliata var. leucophaea",0,3,0,0,0,3,"NE"
"Hydrogonium croceum",0,1,1,0,1,3,"CR"
"Lepidozia",0,0,0,1,2,3,""
"Leptodictyum",0,0,0,3,0,3,""
"Leskea",0,0,0,3,0,3,""
"Meesia uliginosa",0,1,0,1,1,3,"CR"
"Microeurhynchium pumilum",0,0,0,0,3,3,"DD"
"Microlejeunea ulicina",0,1,0,0,2,3,"CR"
"Pohlia longicolla",0,0,0,0,3,3,"EN"
"Pohlia tundrae",0,0,0,0,3,3,"CR"
"Polytrichastrum",0,0,0,0,3,3,""
"Porella",0,0,0,1,2,3,""
"Porella baueri",0,0,0,0,3,3,"NE"
"Pterygoneurum kozlovii",0,2,1,0,0,3,"NE"
"Taxiphyllum densifolium",0,0,0,2,1,3,"NE"
"Tayloria",0,1,0,0,2,3,""
"Tetrodontium ovatum",0,0,2,0,1,3,"DD"
"Timmia austriaca",0,1,1,0,1,3,"RE"
"Ulota coarctata",0,1,2,0,0,3,"CR"
"Warnstorfia",0,0,0,0,3,3,""
"Andreaea",0,0,0,0,2,2,""
"Anomodon",0,0,0,1,1,2,""
"Anthoceros",0,0,0,1,1,2,""
"Archidium alternifolium",0,1,0,0,1,2,"CR"
"Arctoa fulvella",0,0,0,0,2,2,"RE"
"Aulacomnium",0,0,0,2,0,2,""
"Brachythecium capillaceum",0,1,1,0,0,2,"DD-va"
"Cirriphyllum",0,0,0,2,0,2,""
"Conocephalum",0,0,0,0,2,2,""
"Didymodon sicculus",0,1,1,0,0,2,"NE"
"Drepanocladus lycopodioides",0,0,0,2,0,2,"RE"
"Frullania fragilifolia",0,0,0,0,2,2,"CR"
"Funaria",0,0,0,1,1,2,""
"Grimmia caespiticia",0,2,0,0,0,2,"DD"
"Hygrohypnum",0,0,0,2,0,2,""
"Leptobryum",0,0,0,2,0,2,""
