"spec","Osobní nálezy","ČBFS","Bryonora (M)","ČNFD","NDOP","total","RL_eval"
"Pterigynandrum filiforme",0,13,0,27,608,648,"LC"
"Sciuro-hypnum populeum",0,14,0,127,503,644,"LC"
"Calypogeia muelleriana",0,26,0,136,475,637,"LC"
"Radula complanata",0,20,0,10,606,636,"LC"
"Tortula muralis",0,0,0,293,341,634,"NE"
"Fissidens adianthoides",0,33,0,443,157,633,"LC-att"
"Mnium spinulosum",0,2,0,49,580,631,"LC"
"Cynodontium polycarpon",0,52,0,153,425,630,"LC"
"Pylaisia polyantha",0,18,0,8,599,625,"LC"
"Riccia fluitans",0,3,0,342,267,612,"LC"
"Aneura pinguis",0,33,0,341,231,605,"LC"
"Philonotis fontana",0,36,0,324,243,603,"LC"
"Fissidens dubius",0,25,0,394,183,602,"NE"
"Racomitrium canescens",0,13,0,278,303,594,"LC"
"Chiloscyphus polyanthos",0,5,0,294,284,583,"LC"
"Porella platyphylla",0,7,0,148,426,581,"LC"
"Calypogeia integristipula",0,9,0,149,420,578,"LC"
"Conocephalum conicum",0,8,0,204,362,574,"LC"
"Plagiothecium succulentum",0,21,0,275,274,570,"LC"
"Hedwigia ciliata",0,6,0,181,372,559,"LC"
"Sphagnum contortum",0,63,0,386,106,555,"NT"
"Cratoneuron filicinum",0,12,0,300,237,549,"LC"
"Grimmia pulvinata",0,20,0,254,269,543,"LC"
"Barbilophozia lycopodioides",0,4,0,312,222,538,"LC"
"Breidleria pratensis",0,25,0,290,219,534,"LC-att"
"Sarmentypnum exannulatum",0,45,0,346,143,534,"LC"
"Anomodon attenuatus",0,11,0,114,405,530,"LC"
"Drepanocladus aduncus",0,30,0,391,107,528,"LC"
"Racomitrium sudeticum",0,159,0,111,254,524,"LC"
"Sphagnum fimbriatum",0,9,0,228,277,514,"LC"
"Encalypta streptocarpa",0,20,0,202,290,512,"LC"
"Barbula unguiculata",0,23,0,200,285,508,"LC"
"Anomodon viticulosus",0,13,0,117,376,506,"LC"
"Pellia neesiana",0,9,0,146,351,506,"LC"
"Calliergon giganteum",0,43,9,172,281,505,"VU"
"Alleniella complanata",0,8,0,142,348,498,"LC"
"Blepharostoma trichophyllum",0,37,0,36,425,498,"LC"
"Scapania nemorea",0,11,0,163,323,497,"LC"
"Schistidium apocarpum",0,53,0,151,292,496,"LC"
"Pseudoleskeella nervosa",0,25,0,13,453,491,"LC"
"Pellia",0,3,0,415,72,490,""
"Plagiomnium ellipticum",0,25,0,194,271,490,"LC-att"
"Sphagnum riparium",0,1,0,149,335,485,"LC"
"Ctenidium molluscum",0,23,0,202,259,484,"LC"
"Plagiomnium rostratum",0,5,0,338,140,483,"LC"
"Plagiomnium",0,0,0,284,193,477,""
"Sphagnum subsecundum",0,51,0,303,123,477,"LC"
"Thuidium assimile",0,11,0,283,182,476,"LC"
"Gymnocolea inflata",0,37,0,275,161,473,"LC"
"Eurhynchium",0,0,0,191,280,471,""
"Barbilophozia barbata",0,8,0,173,282,463,"LC"
"Campyliadelphus chrysophyllus",0,12,0,349,88,449,"LC"
"Orthotrichum stramineum",0,66,0,0,381,447,"LC"
"Orthotrichum pumilum",0,44,0,0,394,438,"LC"
"Thuidium delicatulum",0,10,0,306,117,433,"LC-att"
"Buxbaumia viridis",0,6,35,0,381,422,"VU"
"Leptodictyum riparium",0,11,0,315,95,421,"LC"
"Funaria hygrometrica",0,2,0,132,284,418,"LC"
"Orthotrichum anomalum",39,18,0,73,288,418,"LC"
"Orthotrichum diaphanum",108,18,0,2,287,415,"LC"
"Dicranum fuscescens",0,3,0,185,226,414,"LC"
"Lewinskya speciosa",0,44,0,0,369,413,"LC"
"Pseudotaxiphyllum elegans",0,16,0,91,303,410,"LC"
"Frullania dilatata",0,19,0,28,345,392,"LC"
"Polytrichum longisetum",0,16,0,162,205,383,"LC"
"Ricciocarpos natans",0,2,0,221,148,371,"NT"
"Ptilium crista-castrensis",0,8,0,33,323,364,"LC-att"
"Hypnum andoi",0,31,0,2,330,363,"LC"
"Rhodobryum roseum",0,7,0,132,224,363,"LC"
"Cephaloziella divaricata",0,88,0,48,226,362,"LC"
"Dicranella",0,9,0,66,284,359,""
"Mylia taylorii",0,8,0,57,294,359,"LC"
"Bryum caespiticium",0,19,0,231,107,357,"LC"
"Flexitrichum flexicaule",0,8,0,267,79,354,"LC"
"Diplophyllum albicans",0,27,0,82,244,353,"LC"
"Leucodon sciuroides",0,14,0,26,313,353,"LC"
"Mnium stellare",0,14,0,93,244,351,"LC"
"Mylia anomala",0,7,0,195,149,351,"LC"
"Scorpidium cossonii",0,65,0,176,110,351,"NT"
"Barbilophozia sudetica",0,109,0,51,188,348,"LC"
"Sciuro-hypnum starckii",0,33,0,96,219,348,"LC"
"Dicranum bonjeanii",0,25,1,228,93,347,"NT"
"Chiloscyphus pallescens",0,26,0,56,262,344,"LC-att"
"Racomitrium",0,0,0,133,207,340,""
"Pseudocampylium radicale",0,40,0,112,186,338,"LC-att"
"Tortula acaulon",0,16,0,211,111,338,"NE"
"Homalia trichomanoides",0,6,0,37,291,334,"LC"
"Racomitrium heterostichum",0,17,0,140,177,334,"LC"
"Plagiothecium nemorale",0,13,0,1,313,327,"LC"
"Andreaea rupestris",0,55,0,41,228,324,"LC"
"Calypogeia neesiana",0,19,0,96,208,323,"LC"
"Grimmia hartmanii",0,49,0,46,225,320,"LC"
"Scapania irrigua",0,65,0,45,208,318,"LC"
"Rhynchostegium riparioides",0,5,0,62,250,317,"LC"
"Neoorthocaulis attenuatus",0,5,0,69,239,313,"LC"
"Sphagnum fuscum",0,3,3,111,196,313,"NT"
"Brachythecium mildeanum",0,18,0,181,112,311,"LC-att"
"Isothecium myosuroides",0,11,1,97,200,309,"LC-att"
"Thuidium recognitum",0,17,0,198,89,304,"LC"
"Philonotis seriata",0,16,0,172,115,303,"LC"
"Bryoerythrophyllum recurvirostrum",0,44,0,46,210,300,"LC"
"Dichodontium pellucidum",0,11,0,134,154,299,"LC"
"Scorpidium revolvens",0,7,4,268,18,297,"EN"
"Sphagnum auriculatum",0,31,0,130,134,295,"LC"
"Hypnum",0,0,0,145,146,291,""
"Schistochilopsis incisa",0,16,0,28,242,286,"LC"
"Dicranella cerviculata",0,8,0,54,223,285,"LC"
"Paludella squarrosa",0,7,10,98,167,282,"EN"
"Riccia rhenana",0,0,5,205,70,280,"NT"
"Exsertotheca crispa",0,0,0,128,150,278,"LC"
"Hypnum pallescens",0,24,3,11,234,272,"LC-att"
"Pogonatum urnigerum",0,4,0,61,207,272,"LC"
"Nowellia curvifolia",0,29,0,1,239,269,"LC-att"
"Fuscocephaloziopsis lunulifolia",0,24,0,55,189,268,"LC"
"Orthotrichum pallens",3,51,0,0,214,268,"LC"
"Aulacomnium androgynum",0,3,0,43,217,263,"LC"
"Ulota bruchii",0,16,0,1,238,255,"LC"
"Sphagnum majus",0,3,0,131,119,253,"LC"
"Riccardia latifrons",0,23,0,8,220,251,"LC-att"
"Thuidium",0,0,0,95,155,250,""
"Leptobryum pyriforme",0,6,0,177,66,249,"LC"
"Polytrichastrum alpinum",0,21,0,97,129,247,"LC"
"Dichodontium palustre",0,11,0,127,108,246,"LC-att"
"Calypogeia",0,1,0,71,173,245,""
"Heterocladium heteropterum",0,9,0,30,205,244,"LC"
"Pohlia wahlenbergii",0,17,0,69,158,244,"LC"
"Pellia endiviifolia",0,12,0,67,164,243,"LC"
"Sphagnum subnitens",0,36,0,93,112,241,"LC-att"
"Brachythecium glareosum",0,11,0,138,90,239,"LC"
"Orthodontium lineare",0,14,0,22,202,238,"LC"
"Sphagnum quinquefarium",0,4,0,61,164,229,"LC"
"Rhynchostegium murale",0,15,0,50,163,228,"LC"
"Tortella inclinata",0,11,0,171,46,228,"LC"
"Lophozia",0,0,0,51,176,227,""
"Diplophyllum obtusifolium",0,20,1,3,202,226,"LC"
"Kindbergia praelonga",0,11,0,78,137,226,"LC"
"Rhabdoweisia fugax",0,36,0,16,174,226,"LC"
"Nardia scalaris",0,38,0,14,173,225,"LC"
"Sphenolobus minutus",0,18,0,9,198,225,"LC"
"Anastrepta orcadensis",0,23,0,38,162,223,"LC-att"
"Plagiomnium medium",0,19,0,87,117,223,"NT"
"Thamnobryum alopecurum",0,6,0,43,173,222,"LC"
"Homomallium incurvatum",0,4,0,26,191,221,"LC"
"Sphagnum tenellum",0,2,0,131,88,221,"LC"
"Dicranum tauricum",0,14,0,21,184,219,"LC"
"Fuscocephaloziopsis connivens",0,21,0,48,150,219,"LC"
"Tortula truncata",0,12,0,61,145,218,"LC"
"Bartramia pomiformis",0,4,0,81,130,215,"LC"
"Leucobryum",0,0,0,12,203,215,""
"Sciuro-hypnum curtum",0,25,0,35,155,215,"LC"
"Schistidium crassipilum",0,46,0,0,167,213,"LC"
"Sphagnum compactum",0,9,0,99,103,211,"LC"
"Lejeunea cavifolia",0,16,0,17,176,209,"LC"
"Neoorthocaulis floerkei",0,5,0,121,83,209,"LC"
"Polytrichum pallidisetum",0,11,1,61,132,205,"LC-att"
"Riccia cavernosa",0,0,6,143,55,204,"NT"
"Lewinskya affinis var. affinis",202,0,0,0,0,202,"LC"
"Scapania umbrosa",0,11,0,4,187,202,"LC"
"Polytrichum uliginosum",0,20,0,0,181,201,"LC-att"
"Encalypta vulgaris",0,6,0,104,89,199,"LC"
"Didymodon rigidulus",0,37,1,48,112,198,"LC"
"Homalothecium philippeanum",0,8,0,104,84,196,"LC"
"Sciuro-hypnum plumosum",0,36,0,52,108,196,"LC"
"Sphagnum angustifolium",0,4,0,75,115,194,"LC-att"
"Pohlia cruda",0,18,0,19,156,193,"LC"
"Lophozia guttulata",0,42,0,16,133,191,"LC"
"Riccardia multifida",0,43,0,37,111,191,"LC-att"
"Riccia",0,0,0,106,85,191,""
"Nyholmiella obtusifolia",0,26,0,0,164,190,"LC"
"Fissidens bryoides",0,7,0,48,134,189,"LC"
"Preissia quadrata",0,7,0,32,146,185,"LC"
"Riccia sorocarpa",0,4,0,105,75,184,"LC"
"Oxyrrhynchium schleicheri",0,6,0,99,77,182,"LC"
"Pogonatum aloides",0,2,0,13,166,181,"LC"
"Hygroamblystegium humile",0,14,0,94,72,180,"LC-att"
"Racomitrium lanuginosum",0,8,0,92,80,180,"LC"
"Barbilophozia hatcheri",0,15,0,30,133,178,"LC"
"Leskea polycarpa",0,13,0,5,160,178,"LC"
"Frullania tamarisci",0,11,1,18,144,174,"NT"
"Hypnum jutlandicum",0,16,0,23,131,170,"LC"
"Racomitrium aciculare",0,13,0,19,138,170,"LC"
"Hygrohypnella ochracea",0,27,0,45,95,167,"LC"
"Pseudoleskeella catenulata",0,13,0,61,93,167,"LC"
"Racomitrium fasciculare",0,11,0,76,80,167,"LC"
"Diplophyllum taxifolium",0,18,0,10,138,166,"LC"
"Marsupella emarginata",0,23,0,19,124,166,"LC"
"Oligotrichum hercynicum",0,8,0,14,144,166,"LC"
"Campylopus introflexus",0,29,0,18,118,165,"LC"
"Palustriella decipiens",0,33,0,81,49,163,"LC-att"
"Ulota crispa",0,3,4,0,156,163,"LC"
"Sphagnum inundatum",0,2,1,107,51,161,"DD"
"Tortula subulata",0,11,0,33,117,161,"LC"
"Anomodon longifolius",0,16,0,2,142,160,"LC"
"Nardia geoscyphus",0,13,0,2,145,160,"LC"
"Pohlia",0,14,0,93,53,160,""
"Calypogeia fissa",0,22,0,15,119,156,"NT"
"Plagiothecium denticulatum var. denticulatum",0,0,0,0,156,156,"LC"
"Streblotrichum convolutum",0,16,0,63,76,155,"LC"
"Oxystegus tenuirostris",0,39,0,17,98,154,"LC-att"
"Scorpidium scorpioides",0,9,5,48,92,154,"EN"
"Physcomitrium pyriforme",0,5,0,97,50,152,"LC"
"Anthoceros agrestis",0,14,0,40,97,151,"LC"
"Philonotis caespitosa",0,24,0,65,61,150,"LC-att"
"Polytrichum perigoniale",0,16,0,89,44,149,"LC"
"Riccardia palmata",0,8,0,0,140,148,"LC-att"
"Dicranum flagellare",0,23,0,45,78,146,"LC-att"
"Brachythecium tommasinii",0,9,0,53,83,145,"LC"
"Hypnum cupressiforme var. lacunosum",0,5,0,84,56,145,"LC"
"Marsupella sphacelata",0,52,0,4,89,145,"LC"
"Didymodon fallax",0,40,0,14,88,142,"LC"
"Blindia acuta",0,34,0,52,55,141,"LC"
"Meesia triquetra",0,2,1,49,87,139,"CR"
"Racomitrium microcarpon",0,19,0,31,89,139,"LC"
"Sphagnum centrale",0,49,0,22,68,139,"LC-att"
"Fuscocephaloziopsis catenulata",0,26,1,0,111,138,"NT"
"Rhizomnium magnifolium",0,18,0,47,73,138,"LC-att"
"Taxiphyllum wissgrillii",0,18,0,11,108,137,"LC"
"Dicranoweisia cirrata",0,13,0,5,118,136,"LC"
"Metzgeria conjugata",0,6,0,29,101,136,"LC"
"Rhytidiadelphus",0,0,0,23,113,136,""
"Isopaches bicrenatus",0,6,0,5,124,135,"NT"
"Solenostoma sphaerocarpum",0,29,0,12,94,135,"LC"
"Neckera pennata",0,17,20,0,97,134,"VU"
"Sphagnum balticum",0,0,0,70,64,134,"LC-att"
"Weissia longifolia",0,17,0,66,51,134,"LC"
"Dicranella schreberiana",0,12,0,20,101,133,"LC"
"Ditrichum heteromallum",0,30,0,12,91,133,"LC"
"Trichodon cylindricus",0,26,0,10,97,133,"LC"
"Sphagnum obtusum",0,29,0,66,37,132,"NT"
"Bryum rubens",0,9,0,28,93,130,"LC"
"Grimmia ovalis",0,21,0,47,62,130,"LC"
"Lophoziopsis excisa",0,17,0,5,108,130,"LC-att"
"Mannia fragrans",0,10,0,44,75,129,"NT"
"Metzgeria pubescens",0,5,0,26,98,129,"LC-att"
"Mesoptychia bantriensis",0,32,0,8,88,128,"LC"
"Pseudoamblystegium subtile",0,29,10,7,82,128,"LC-att"
"Amphidium mougeotii",0,52,0,6,69,127,"LC"
"Dicranella staphylina",0,21,0,13,92,126,"LC"
"Dicranum undulatum",0,1,0,86,38,125,"LC-att"
"Trichocolea tomentella",0,12,0,22,90,124,"LC-att"
"Rhytidiadelphus subpinnatus",0,16,2,4,100,122,"LC-att"
"Drepanocladus",0,0,0,91,30,121,""
"Orthotrichum patens",0,12,31,0,78,121,"NT"
"Scapania uliginosa",0,15,0,44,62,121,"LC"
"Atrichum",0,0,0,7,113,120,""
"Gymnostomum aeruginosum",0,49,0,25,46,120,"LC"
"Liochlaena lanceolata",0,4,0,3,113,120,"NT"
"Plagiothecium denticulatum var. undulatum",0,11,0,10,98,119,"LC-att"
"Schistostega pennata",0,5,0,2,111,118,"LC"
"Hygroamblystegium varium",0,8,0,31,78,117,"LC"
"Tritomaria exsectiformis",0,8,0,7,101,116,"LC-att"
"Cephaloziella rubella",0,19,0,5,91,115,"LC"
"Cynodontium strumiferum",0,20,0,17,78,115,"LC"
"Fossombronia wondraczekii",0,10,0,9,96,115,"LC"
"Fuscocephaloziopsis leucantha",0,15,1,7,92,115,"NT"
"Cynodontium",0,6,0,93,15,114,""
"Gymnomitrion concinnatum",0,67,0,1,45,113,"LC-att"
"Odontoschisma denudatum",0,12,0,8,93,113,"LC-att"
"Racomitrium aquaticum",0,14,0,13,85,112,"LC"
"Porella arboris-vitae",0,1,1,1,108,111,"NT"
"Lescuraea incurvata",0,33,0,20,56,109,"LC"
"Lophoziopsis longidens",0,10,1,12,86,109,"NT"
"Dicranum fulvum",0,30,3,21,54,108,"LC-att"
"Didymodon glaucus",0,23,26,0,59,108,"VU"
"Harpanthus scutatus",0,12,14,0,82,108,"EN"
"Weissia controversa",0,9,0,41,58,108,"LC"
"Bryum weigelii",0,12,0,39,56,107,"LC-att"
"Campylopus flexuosus",0,17,0,11,79,107,"LC"
"Fissidens pusillus",0,14,0,3,90,107,"LC-att"
"Porella cordaeana",0,22,0,2,83,107,"NT"
